metabolite,z_score_adjacent,fdr_adjacent,communication_score_adjacent,z_score_fibrotic,fdr_fibrotic,communication_score_fibrotic,fibrotic_minus_adjacent_z,fibrotic_minus_adjacent_score
gamma-Linolenic acid,0.09892159062663715,0.49392027750420037,2.8950918511739276,0.12993626507658598,0.47940023818038174,4.830991688829682,0.031014674449948834,1.9358998376557546
5-Aminolevulinic acid,0.004219277712870583,0.49831675672185016,0.12348362422189096,0.01993706372921737,0.4936965939490627,0.7412540996060426,0.015717786016346786,0.6177704753841516
Protons,0.004219277712870583,0.49831675672185016,0.12348362422189096,0.01993706372921737,0.4936965939490627,0.7412540996060426,0.015717786016346786,0.6177704753841516
Hydroxycelecoxib,0.42064061646659295,0.4190042498736524,12.310691865050632,0.42713800448528105,0.38584106450218214,15.880863963847482,0.0064973880186880995,3.5701720987968493
Estrone sulfate,0.12621373972899036,0.49392027750420037,3.693838393427468,0.0885474938787905,0.47940023818038174,3.2921694858860233,-0.037666245850199856,-0.4016689075414446
Carnosine,0.8441914624920489,0.26246793811719893,24.706556055248257,0.8032774838177874,0.2528489542066021,29.865617930917615,-0.0409139786742615,5.159061875669359
Sodium-dependent phosphate transport,0.13585891977057357,0.49392027750420037,5.687284993850586,0.027408222281894136,0.4936965939490627,1.0190295524608446,-0.10845069748867944,-4.668255441389741
beta-Alanine,0.23713349806726872,0.4801117637149919,6.940074998248706,0.11829210028860637,0.47940023818038174,4.398065105316322,-0.11884139777866234,-2.542009892932384
Spermine,0.44552048411152506,0.41187160041459175,13.038839295968842,0.3243542978311974,0.42523332747552806,12.059396321228114,-0.12116618628032766,-0.9794429747407278
Putrescine,0.44552048411152506,0.41187160041459175,13.038839295968842,0.3243542978311974,0.42523332747552806,12.059396321228114,-0.12116618628032766,-0.9794429747407278
Histamine,1.6806449538330883,0.06820302750581171,78.48949401848013,1.5276749405447791,0.08672460683712366,85.15145938543506,-0.15297001328830917,6.661965366954931
Norepinephrine,1.6806449538330883,0.06820302750581171,78.48949401848013,1.5276749405447791,0.08672460683712366,85.15145938543506,-0.15297001328830917,6.661965366954931
Dopamine,1.6806449538330883,0.06820302750581171,78.48949401848013,1.5276749405447791,0.08672460683712366,85.15145938543506,-0.15297001328830917,6.661965366954931
Anion exchange,14.91911132299863,5.2421993666452745e-50,1567.701012162606,14.726549867409425,8.202105932181186e-49,1897.9765255402854,-0.192561455589205,330.2755133776793
Calcium,0.214947364621044,0.4801117637149919,6.290763824193173,0.015800953313469628,0.4936965939490627,0.5874747445446833,-0.19914641130757438,-5.70328907964849
Calcidiol,0.214947364621044,0.4801117637149919,6.290763824193173,0.015800953313469628,0.4936965939490627,0.5874747445446833,-0.19914641130757438,-5.70328907964849
D-Galactose,11.910651545272813,1.8441470465758226e-32,1703.3474660697862,11.500024436995002,2.076587777610349e-30,1595.3285732157965,-0.41062710827781146,-108.01889285398966
25-Hydroxycholesterol,1.3934439580081002,0.11246141863527065,40.78127153376463,0.8655285171388427,0.2386081597957118,32.180092834577664,-0.5279154408692575,-8.601178699186967
Cholic acid,16.362298388171762,9.140278254297344e-60,2437.5653548238906,15.833732499633093,3.7667946061289754e-56,2903.274052188902,-0.5285658885386688,465.7086973650112
GABA,9.961627435348426,3.3653930325717334e-23,608.1569680277747,9.300750017767042,1.9617151307652592e-20,627.8404501253963,-0.6608774175813839,19.68348209762155
4-ene-Valproic acid,5.3510306436935355,8.910479848443336e-08,269.3411361974797,4.365417744768898,1.0618610031775185e-05,260.745690236393,-0.9856128989246375,-8.595445961086739
Acetyl-L-Carnitine,2.4085813818928865,0.012443041570218454,70.49082295821535,1.305604098054335,0.12639376464860066,48.5419720420995,-1.1029772838385514,-21.948850916115845
Water,16.333677258522137,1.4279088021654474e-59,2983.693662904089,15.031703967644848,8.73051812779258e-51,4335.20262542386,-1.3019732908772887,1351.508962519771
L-Carnitine,3.0417545365174368,0.0019243931815679923,142.05604458880907,1.7094750589033652,0.06185768600843901,120.61046890915091,-1.3322794776140716,-21.445575679658162
