marker_set,cell_type,spearman_r,p_value,n_slides
Myofibroblast,Fibroblast,0.21804511278195485,0.35573636611773696,20
Endothelial,Myoblast/myocyte,0.20632553518931018,0.3828002454293396,20
Absorptive,Megakaryocyte/platelet,0.2045112781954887,0.38709023775567697,20
Endothelial,Unconventional_T/ILC,0.20352438433813047,0.3894350492271331,20
Endothelial,Granulocyte,0.20150375939849624,0.39426050476127356,20
Macrophage,Keratinocyte,0.2000462641690204,0.39776156819648983,20
Secretory,Erythrocyte,0.19999999999999998,0.3978729793519616,20
Myofibroblast,Glia,0.19999999999999998,0.3978729793519616,20
Fibroblast,Immature_B,0.19999999999999998,0.3978729793519616,20
Macrophage,Mesoderm,0.1951296125150967,0.40969740106719316,20
B_cells,Fibroblast,0.19097744360902258,0.41992697220250486,20
Myofibroblast,Macrophage,0.1894736842105263,0.4236652559268629,20
Myofibroblast,Monocyte,0.18045112781954886,0.4464646102705484,20
Secretory,Mesoderm,0.17976507609658515,0.4482238758960419,20
Pericyte,Granulocyte,0.17744360902255638,0.4542034838793193,20
Myofibroblast,Megakaryocyte/platelet,0.16992481203007515,0.47384906489411227,20
Secretory,Cycling_epithelia,0.16954301831872798,0.47485787941007884,20
Endothelial,Conventional_CD4,0.16541353383458643,0.4858377042773383,20
Fibroblast,DC,0.1609022556390977,0.4979744144247944,20
Secretory,Lymphatic_endothelia,0.1609022556390977,0.4979744144247944,20
Fibroblast,Cycling_endothelia,0.1592329216762475,0.502502465427431,20
Fibroblast,Monocyte,0.15488721804511277,0.5143826800752829,20
Epithelial,Megakaryocyte/platelet,0.14887218045112782,0.5310434616086306,20
Absorptive,Lymphatic_endothelia,0.14586466165413534,0.5394664944297438,20
B_plasma,Fibroblast,0.13533834586466165,0.5694186911507699,20
Secretory,Neuron,0.13383458646616542,0.5737559530736435,20
Myofibroblast,Intestinal_Cajal_cell,0.13333715963822365,0.5751938120301726,20
Fibroblast,Granulocyte,0.12781954887218044,0.5912462398946647,20
Epithelial,Lymphatic_endothelia,0.1263157894736842,0.5956535128148984,20
Epithelial,Smooth_muscle,0.12330827067669171,0.604508830626885,20
Secretory,Megakaryocyte/platelet,0.12180451127819547,0.6089566221649011,20
Endothelial,Treg,0.11729323308270674,0.622378981763022,20
Myofibroblast,Melanocyte,0.11127819548872178,0.6404548402871416,20
Epithelial,Epithelial_progenitor,0.11112487967696132,0.6409181842461159,20
Epithelial,Intestinal_Cajal_cell,0.10606364971222336,0.6562849251461218,20
Fibroblast,Lymphatic_endothelia,0.10375939849624059,0.6633257542362447,20
Myofibroblast,Neuron,0.10225563909774435,0.6679353573533201,20
Absorptive,Intestinal_Cajal_cell,0.10151806472455666,0.6702005109867581,20
Fibroblast,Myofibroblast,0.09774436090225563,0.6818324385070821,20
Endothelial,Cycling_epithelia,0.0954708258493808,0.6888740061834662,20
Epithelial,Neuron,0.09323308270676692,0.6958288642370746,20
Myofibroblast,Lymphoid_stromal_cell,0.09323308270676692,0.6958288642370746,20
B_cells,Myoblast/myocyte,0.0888555224537905,0.7095016039344986,20
Secretory,Glia,0.08721804511278194,0.7146383646582315,20
Macrophage,Granulocyte,0.08120300751879699,0.733607630478017,20
Fibroblast,Mature_B,0.07969924812030074,0.7383737490149301,20
Fibroblast,NK,0.07727494479033416,0.7460768204549874,20
Epithelial,Glia,0.07368421052631578,0.7575286998643431,20
Epithelial,Mesoderm,0.07221332116700427,0.7622340151475328,20
Epithelial,Keratinocyte,0.07098415825352337,0.7661722344990928,20
Fibroblast,Mesothelium,0.0667425275509423,0.7798042592465912,20
Pericyte,Epithelial_progenitor,0.056284029966253125,0.8136742631683342,20
Secretory,Keratinocyte,0.04194518442253653,0.8606218153749016,20
Secretory,Smooth_muscle,0.037593984962406006,0.8749652018566715,20
Fibroblast,Unconventional_T/ILC,0.03340285697152523,0.8888165654942527,20
Fibroblast,Mesoderm,0.03226552647887425,0.8925808824418295,20
Fibroblast,Conventional_CD8,0.02857142857142857,0.9048224147367736,20
Secretory,Neuron_progenitor,0.021739597435790917,0.9275143737838508,20
Secretory,Intestinal_Cajal_cell,0.015151949958889051,0.9494466163604243,20
Macrophage,Myoblast/myocyte,0.01506025804301534,0.9497521687352831,20
Fibroblast,Cycling_T/NK,0.014814438493869436,0.950571366272594,20
Epithelial,Myofibroblast,0.003007518796992481,0.989959729518499,20
Epithelial,Basal,0.0022564875608542035,0.9924668852216711,20
Secretory,Basal,0.001504325040569469,0.994977885598091,20
Secretory,Myofibroblast,-0.003007518796992481,0.989959729518499,20
Endothelial,Keratinocyte,-0.0032265526478874257,0.9892285483363726,20
Epithelial,Neuron_progenitor,-0.007905308158469423,0.9736127598434121,20
Myofibroblast,Myoblast/myocyte,-0.013554232238713807,0.9547717562676657,20
Pericyte,Erythrocyte,-0.019548872180451125,0.9348031235214638,20
B_cells,Basal,-0.02331703812882677,0.922269487317932,20
Macrophage,Neuron_progenitor,-0.02371592447540827,0.9209436973564762,20
Absorptive,Mesothelium,-0.027809386479559293,0.9073503396309721,20
Fibroblast,Conventional_CD4,-0.02857142857142857,0.9048224147367736,20
Endothelial,Mesothelium,-0.03707918197274572,0.8766647826733579,20
B_cells,Pericyte,-0.051127819548872175,0.8304946161837171,20
Fibroblast,Treg,-0.05413533834586466,0.8206745196973448,20
Endothelial,Mesoderm,-0.05838523839034389,0.806841827954405,20
B_plasma,Secretory,-0.060150375939849614,0.8011125555760907,20
Fibroblast,Cycling_epithelia,-0.07407219246934717,0.7562889214316464,20
