marker_set,cell_type,spearman_r,p_value,n_slides
B_plasma,Glia,-0.6586466165413534,0.0015893261832982597,20
B_plasma,Megakaryocyte/platelet,-0.6601503759398496,0.0015370486321183076,20
Fibroblast,Enteroendocrine,-0.6601503759398496,0.0015370486321183076,20
Absorptive,B_plasma,-0.6646616541353383,0.0013887947848759106,20
Absorptive,Conventional_CD8,-0.6676691729323309,0.0012967923499898862,20
Endothelial,Secretory,-0.6706766917293233,0.0012099715195241652,20
Absorptive,DC,-0.6706766917293233,0.0012099715195241652,20
B_plasma,Neuron,-0.6781954887218045,0.0010140621699159448,20
B_cells,Smooth_muscle,-0.6781954887218045,0.0010140621699159448,20
Absorptive,Immature_B,-0.6857142857142857,0.000845615608485296,20
Endothelial,Epithelial_stem,-0.6895851087024454,0.000768553682612716,20
Macrophage,Melanocyte,-0.7022556390977444,0.0005564352866091828,20
Absorptive,NK,-0.7060808680842297,0.0005031300032225586,20
Absorptive,Mature_B,-0.7112781954887217,0.00043769852641295997,20
B_cells,Myofibroblast,-0.7157894736842104,0.0003869132784631133,20
B_cells,Microfold,-0.7200051264342446,0.000344078618417366,20
Absorptive,Lymphoid_stromal_cell,-0.7548872180451127,0.00011960282700609442,20
B_cells,Absorptive,-0.7699248120300751,7.183540419814863e-05,20
B_cells,Melanocyte,-0.7714285714285714,6.81246939141708e-05,20
B_plasma,Smooth_muscle,-0.7774436090225564,5.488285448149742e-05,20
Endothelial,Absorptive,-0.7984962406015037,2.4383575150659517e-05,20
Endothelial,Microfold,-0.8015151407475554,2.1539746000820726e-05,20
B_plasma,Myofibroblast,-0.813533834586466,1.2867962423531983e-05,20
Endothelial,Enteroendocrine,-0.8947368421052632,1.0226817406907924e-07,20
B_plasma,Melanocyte,-0.8962406015037594,9.03561717901523e-08,20
