metabolite,cell_type,spearman_r,p_value,n_slides
L-Histidine,Erythrocyte,-0.08771929824561403,0.7292587507339037,18
beta-Dhydroxybutyrate,Smooth_muscle,-0.09090909090909091,0.7903727377532903,11
Propionate,Smooth_muscle,-0.09090909090909091,0.7903727377532903,11
L-Leucine,Cycling_endothelia,-0.0924957919817,0.7150832495675228,18
L-Asparagine,Neuron_progenitor,-0.09534178624910586,0.7066786656811553,18
Bile acid,Pericyte,-0.0989010989010989,0.7365853699253173,14
L-Alanine,Conventional_CD8,-0.1001031991744066,0.6926899392518375,18
Fatty acid,Lymphoid_stromal_cell,-0.10216718266253869,0.6866550541678015,18
Bile acid,Cycling_epithelia,-0.10293952744612743,0.7261987727337457,14
Urea,Myoblast/myocyte,-0.10324528696022295,0.7035739243060671,16
L-Leucine,Epithelial_stem,-0.10511499484866452,0.6780671916507449,18
L-Cysteine,Smooth_muscle,-0.10629514963880288,0.6746395315456968,18
L-Serine,Erythrocyte,-0.11042311661506708,0.6626984309773882,18
L-Alanine,Glia,-0.11455108359133126,0.6508342238705321,18
L-Alanine,Absorptive,-0.12074303405572755,0.6331873816566363,18
L-Alanine,Smooth_muscle,-0.12074303405572755,0.6331873816566363,18
Propionate,Cycling_T/NK,-0.12135597524338358,0.7222591192210746,11
beta-Dhydroxybutyrate,Cycling_T/NK,-0.12135597524338358,0.7222591192210746,11
L-Alanine,Neuron_progenitor,-0.12146282357762803,0.631147952891796,18
L-Cysteine,Neuron_progenitor,-0.12407492731048024,0.623768258684225,18
L-Leucine,Treg,-0.12487100103199174,0.62152591689147,18
Cholic acid,Basal,-0.12596800852672518,0.6184411132855355,18
Urea,Granulocyte,-0.1264705882352941,0.6406944408168839,16
L-Alanine,Granulocyte,-0.12899896800825592,0.6099496263278285,18
L-Asparagine,Myofibroblast,-0.13106295149638802,0.6041941281040611,18
L-Alanine,Unconventional_T/ILC,-0.14140161302949542,0.5757029611534128,18
L-Cysteine,Glia,-0.14344685242518057,0.5701354475609234,18
L-Leucine,Transit_amplifying,-0.14581210090645244,0.5637258799131108,18
L-Asparagine,Glia,-0.1475748194014448,0.5589695952802587,18
L-Cysteine,Erythrocyte,-0.1496388028895769,0.5534228921214378,18
Propionate,Granulocyte,-0.15454545454545454,0.6500339654975799,11
beta-Dhydroxybutyrate,Monocyte,-0.15454545454545454,0.6500339654975799,11
beta-Dhydroxybutyrate,Granulocyte,-0.15454545454545454,0.6500339654975799,11
Propionate,Monocyte,-0.15454545454545454,0.6500339654975799,11
L-Alanine,Microfold,-0.1566411111497932,0.534788878327096,18
Cholic acid,Treg,-0.15789473684210525,0.5314832784708439,18
L-Alanine,Myofibroblast,-0.15995872033023736,0.5260613631447345,18
L-Alanine,Conventional_CD4,-0.15995872033023736,0.5260613631447345,18
L-Alanine,Treg,-0.16202270381836945,0.5206651056985048,18
L-Cysteine,Epithelial_stem,-0.1650305419124033,0.5128475567145105,18
Citric acid,Mesoderm,-0.16580672054918905,0.5108392285700561,18
L-Asparagine,Erythrocyte,-0.16615067079463364,0.5099504603438955,18
L-Histidine,Mesothelium,-0.17109279450182013,0.49726119548961933,18
L-Asparagine,Megakaryocyte/platelet,-0.17234262125902994,0.49407642787678363,18
L-Alanine,NK,-0.17414919705480864,0.48949044891398885,18
L-Serine,Basal,-0.17656171686942626,0.4833987186070114,18
Citric acid,Basal,-0.17759424152948136,0.4808029481019604,18
L-Cysteine,Myofibroblast,-0.17853457172342618,0.4784449329228026,18
Fatty acid,Neuron_progenitor,-0.18154120943322896,0.4709438072804835,18
L-Leucine,Granulocyte,-0.1826625386996904,0.46816133789331493,18
L-Serine,Smooth_muscle,-0.1847265221878225,0.46306133291799106,18
Cholesterol,Fibroblast,-0.1867905056759546,0.45798943476882836,18
Fatty acid,Salivary/Submucosal_glands,-0.1887485309396429,0.4532040535353097,18
L-Asparagine,Myoblast/myocyte,-0.1892454926658212,0.451993555668904,18
L-Histidine,Smooth_muscle,-0.1929824561403509,0.44294415082481003,18
Citric acid,Granulocyte,-0.19711042311661509,0.4330576703920279,18
Bile acid,Neuron_progenitor,-0.19821102124448417,0.4969597832021782,14
L-Cysteine,Secretory,-0.1991744066047472,0.42815803191920493,18
Fatty acid,Mesoderm,-0.20126224569807227,0.42323154917539185,18
Fatty acid,Secretory,-0.2053663570691434,0.41363537140209433,18
L-Cysteine,Myoblast/myocyte,-0.20579154666939026,0.4126478966393351,18
L-Serine,Myoblast/myocyte,-0.20579154666939026,0.4126478966393351,18
L-Asparagine,Epithelial_stem,-0.21128113964581569,0.40001246845675864,18
beta-Dhydroxybutyrate,Cycling_endothelia,-0.21314308675154217,0.5291781902011108,11
Propionate,Cycling_endothelia,-0.21314308675154217,0.5291781902011108,11
L-Serine,Neuron_progenitor,-0.21549855796030776,0.3904497231641774,18
Urea,Pericyte,-0.21764705882352942,0.41808684161130316,16
L-Alanine,Neuron,-0.2198142414860681,0.3807953913501374,18
L-Cysteine,Mesoderm,-0.22628967521493096,0.36656091508512395,18
L-Asparagine,Mesoderm,-0.22628967521493096,0.36656091508512395,18
Cholesterol,Granulocyte,-0.23013415892672856,0.35825371050744315,18
Citric acid,Epithelial_stem,-0.23020183871857533,0.3581084323537226,18
Fatty acid,Transit_amplifying,-0.23061062767474386,0.35723165729395284,18
L-Alanine,Myoblast/myocyte,-0.23267888442519002,0.3528143731576574,18
Citric acid,Mesothelium,-0.2337832840902733,0.35046848396881364,18
Citric acid,Neuron_progenitor,-0.2337832840902733,0.35046848396881364,18
L-Alanine,Megakaryocyte/platelet,-0.23632610939112486,0.3451012488097786,18
Fatty acid,Monocyte,-0.23839009287925697,0.340779724454077,18
L-Histidine,Myofibroblast,-0.24045407636738902,0.3364896473643954,18
L-Cysteine,Megakaryocyte/platelet,-0.24664602683178533,0.3238088129377634,18
Cholic acid,Monocyte,-0.24871001031991744,0.31964521777772903,18
Cholesterol,Cycling_epithelia,-0.25468082395583413,0.30777961601292747,18
beta-Dhydroxybutyrate,Myoblast/myocyte,-0.2568915451961508,0.4457256598913406,11
Propionate,Myoblast/myocyte,-0.2568915451961508,0.4457256598913406,11
Citric acid,Transit_amplifying,-0.25956622218098974,0.29826963801603795,18
L-Cysteine,Neuron,-0.26109391124871,0.29533260163380953,18
L-Asparagine,Secretory,-0.2631578947368421,0.2913923922783684,18
L-Asparagine,Neuron,-0.2652218782249742,0.28748424291745134,18
L-Leucine,Myoblast/myocyte,-0.26577099243232816,0.2864498986543247,18
Cholic acid,Cycling_endothelia,-0.27323469585398735,0.2726162255092899,18
L-Alanine,Melanocyte,-0.27347781217750256,0.2721726853194867,18
Bile acid,Myoblast/myocyte,-0.2759408792228793,0.3396110580422477,14
Cholic acid,Conventional_CD4,-0.27966976264189886,0.26102647706844145,18
L-Serine,Secretory,-0.27966976264189886,0.26102647706844145,18
