metabolite,cell_type,spearman_r,p_value,n_patients
Fatty acid,Myofibroblast,0.4523809523809524,0.2604047674368853,8
L-Leucine,Macrophage,0.4523809523809524,0.2604047674368853,8
Citric acid,Mesoderm,0.4523809523809524,0.2604047674368853,8
Citric acid,Keratinocyte,0.43643578047198484,0.27965829090465766,8
L-Asparagine,Pericyte,0.4285714285714286,0.2894032248467901,8
Cholic acid,Megakaryocyte/platelet,0.4285714285714286,0.2894032248467901,8
Cholesterol,Intestinal_Cajal_cell,0.4285714285714286,0.2894032248467901,8
L-Cysteine,Smooth_muscle,0.4285714285714286,0.2894032248467901,8
L-Asparagine,Intestinal_Cajal_cell,0.4285714285714286,0.2894032248467901,8
L-Serine,Vascular_endothelia,0.4285714285714286,0.2894032248467901,8
L-Alanine,Smooth_muscle,0.4047619047619048,0.3198886412288163,8
Cholic acid,Erythrocyte,0.4047619047619048,0.3198886412288163,8
L-Asparagine,Vascular_endothelia,0.4047619047619048,0.3198886412288163,8
Cholesterol,Neuron,0.4047619047619048,0.3198886412288163,8
Bile acid,Intestinal_Cajal_cell,0.39999999999999997,0.5046315754686912,5
L-Cysteine,Vascular_endothelia,0.38095238095238104,0.35181255311756476,8
L-Histidine,Lymphoid_stromal_cell,0.38095238095238104,0.35181255311756476,8
Cholic acid,Myofibroblast,0.38095238095238104,0.35181255311756476,8
Fatty acid,Fibroblast,0.3571428571428572,0.38512064355625614,8
Fatty acid,Smooth_muscle,0.3571428571428572,0.38512064355625614,8
Citric acid,Myoblast/myocyte,0.3571428571428572,0.38512064355625614,8
L-Leucine,Neuron,0.3571428571428572,0.38512064355625614,8
L-Asparagine,Melanocyte,0.3571428571428572,0.38512064355625614,8
L-Alanine,Megakaryocyte/platelet,0.3571428571428572,0.38512064355625614,8
L-Serine,Megakaryocyte/platelet,0.3333333333333334,0.4197530864197532,8
L-Alanine,Erythrocyte,0.3333333333333334,0.4197530864197532,8
L-Histidine,Glia,0.3333333333333334,0.4197530864197532,8
Citric acid,Fibroblast,0.3333333333333334,0.4197530864197532,8
L-Histidine,B_plasma,0.3333333333333334,0.4197530864197532,8
L-Leucine,Cycling_epithelia,0.31716752370827334,0.4439892416323507,8
L-Histidine,Smooth_muscle,0.30952380952380953,0.4556448907375822,8
L-Cysteine,Megakaryocyte/platelet,0.28571428571428575,0.49272624501695717,8
L-Histidine,Myoblast/myocyte,0.28571428571428575,0.49272624501695717,8
L-Alanine,Intestinal_Cajal_cell,0.28571428571428575,0.49272624501695717,8
L-Histidine,Fibroblast,0.28571428571428575,0.49272624501695717,8
Cholic acid,Smooth_muscle,0.28571428571428575,0.49272624501695717,8
L-Leucine,Myoblast/myocyte,0.261904761904762,0.530922861565801,8
L-Alanine,Melanocyte,0.261904761904762,0.530922861565801,8
Cholesterol,Secretory,0.261904761904762,0.530922861565801,8
L-Alanine,Vascular_endothelia,0.261904761904762,0.530922861565801,8
L-Cysteine,Intestinal_Cajal_cell,0.2142857142857143,0.6103444156452669,8
Cholesterol,Transit_amplifying,0.2142857142857143,0.6103444156452669,8
Fatty acid,Macrophage,0.2142857142857143,0.6103444156452669,8
Urea,Myofibroblast,0.2,0.7040000000000001,6
Urea,Enteroendocrine,0.2,0.7040000000000001,6
Urea,Basal,0.2,0.7040000000000001,6
Bile acid,Conventional_CD4,0.19999999999999998,0.7470600781046621,5
Bile acid,Treg,0.19999999999999998,0.7470600781046621,5
L-Histidine,Myofibroblast,0.19047619047619052,0.6514014957024814,8
Fatty acid,Megakaryocyte/platelet,0.19047619047619052,0.6514014957024814,8
L-Leucine,Salivary/Submucosal_glands,0.19047619047619052,0.6514014957024814,8
L-Histidine,Intestinal_Cajal_cell,0.19047619047619052,0.6514014957024814,8
L-Leucine,Granulocyte,0.19047619047619052,0.6514014957024814,8
L-Asparagine,Erythrocyte,0.19047619047619052,0.6514014957024814,8
L-Cysteine,Fibroblast,0.19047619047619052,0.6514014957024814,8
L-Histidine,Mesothelium,0.17078251276599335,0.6859547529411324,8
L-Serine,Intestinal_Cajal_cell,0.1666666666666667,0.693238811728395,8
L-Cysteine,Melanocyte,0.1666666666666667,0.693238811728395,8
L-Cysteine,Erythrocyte,0.1666666666666667,0.693238811728395,8
L-Alanine,Epithelial_stem,0.1666666666666667,0.693238811728395,8
Bile acid,Cycling_endothelia,0.15389675281277312,0.8048288166080632,5
Citric acid,Mesothelium,0.14638501094227999,0.7294239249593865,8
L-Serine,Melanocyte,0.14285714285714288,0.735764859879812,8
Urea,Absorptive,0.14285714285714288,0.7871720116618076,6
Urea,Conventional_CD8,0.14285714285714288,0.7871720116618076,6
Urea,Macrophage,0.14285714285714288,0.7871720116618076,6
Urea,Microfold,0.14285714285714288,0.7871720116618076,6
Urea,Myoblast/myocyte,0.14285714285714288,0.7871720116618076,6
L-Leucine,B_plasma,0.14285714285714288,0.735764859879812,8
L-Alanine,Fibroblast,0.14285714285714288,0.735764859879812,8
Fatty acid,Myoblast/myocyte,0.14285714285714288,0.735764859879812,8
Cholic acid,Intestinal_Cajal_cell,0.11904761904761905,0.7788857260523796,8
Fatty acid,Erythrocyte,0.11904761904761905,0.7788857260523796,8
Bile acid,Basal,0.09999999999999999,0.8728885715695384,5
Bile acid,Conventional_CD8,0.09999999999999999,0.8728885715695384,5
Cholesterol,Enteroendocrine,0.09523809523809526,0.8225054302036114,8
Citric acid,Basal,0.09523809523809526,0.8225054302036114,8
L-Leucine,Myofibroblast,0.09523809523809526,0.8225054302036114,8
Citric acid,Lymphatic_endothelia,0.09523809523809526,0.8225054302036114,8
L-Alanine,Macrophage,0.09523809523809526,0.8225054302036114,8
L-Leucine,Epithelial_stem,0.07142857142857144,0.8665262706759088,8
Cholic acid,Salivary/Submucosal_glands,0.07142857142857144,0.8665262706759088,8
L-Serine,Fibroblast,0.07142857142857144,0.8665262706759088,8
Cholesterol,Granulocyte,0.07142857142857144,0.8665262706759088,8
L-Cysteine,Macrophage,0.07142857142857144,0.8665262706759088,8
Fatty acid,Intestinal_Cajal_cell,0.07142857142857144,0.8665262706759088,8
Citric acid,Vascular_endothelia,0.07142857142857144,0.8665262706759088,8
L-Cysteine,Epithelial_stem,0.07142857142857144,0.8665262706759088,8
Cholesterol,Pericyte,0.07142857142857144,0.8665262706759088,8
L-Histidine,Megakaryocyte/platelet,0.07142857142857144,0.8665262706759088,8
Bile acid,Mesothelium,0.05129891760425771,0.934712848108234,5
Urea,DC,0.028571428571428574,0.9571545189504373,6
Urea,Monocyte,0.028571428571428574,0.9571545189504373,6
Urea,Vascular_endothelia,0.028571428571428574,0.9571545189504373,6
L-Serine,Macrophage,0.023809523809523815,0.9553740118158806,8
Citric acid,Granulocyte,0.023809523809523815,0.9553740118158806,8
L-Leucine,Unconventional_T/ILC,0.01197626261913259,0.977546654703887,8
Bile acid,Epithelial_stem,0.0,1.0,5
L-Leucine,Mesothelium,0.0,1.0,8
L-Alanine,Myoblast/myocyte,0.0,1.0,8
L-Leucine,Intestinal_Cajal_cell,-0.023809523809523815,0.9553740118158806,8
Cholic acid,Mesoderm,-0.023809523809523815,0.9553740118158806,8
L-Serine,Erythrocyte,-0.023809523809523815,0.9553740118158806,8
Fatty acid,Lymphoid_stromal_cell,-0.023809523809523815,0.9553740118158806,8
L-Leucine,Smooth_muscle,-0.023809523809523815,0.9553740118158806,8
Urea,B_plasma,-0.028571428571428574,0.9571545189504373,6
Urea,Cycling_endothelia,-0.02898855178262242,0.9565293523898406,6
L-Leucine,Neuron_progenitor,-0.03805097170738808,0.9287232645178358,8
L-Serine,Epithelial_stem,-0.04761904761904763,0.9108491685195836,8
L-Asparagine,Fibroblast,-0.04761904761904763,0.9108491685195836,8
Fatty acid,B_plasma,-0.04761904761904763,0.9108491685195836,8
L-Cysteine,Myoblast/myocyte,-0.04761904761904763,0.9108491685195836,8
L-Asparagine,Macrophage,-0.04761904761904763,0.9108491685195836,8
Cholic acid,Treg,-0.04761904761904763,0.9108491685195836,8
Cholesterol,Lymphatic_endothelia,-0.04761904761904763,0.9108491685195836,8
Citric acid,Epithelial_stem,-0.04761904761904763,0.9108491685195836,8
Citric acid,Enteroendocrine,-0.04761904761904763,0.9108491685195836,8
L-Alanine,Absorptive,-0.04761904761904763,0.9108491685195836,8
Fatty acid,Melanocyte,-0.04761904761904763,0.9108491685195836,8
L-Leucine,Mesoderm,-0.04761904761904763,0.9108491685195836,8
L-Alanine,Microfold,-0.04761904761904763,0.9108491685195836,8
Cholic acid,Cycling_endothelia,-0.05988131309566294,0.8879906501125184,8
Cholic acid,Neuron_progenitor,-0.06341828617898013,0.8814091545742042,8
Citric acid,Pericyte,-0.07142857142857144,0.8665262706759088,8
L-Alanine,Mesoderm,-0.07142857142857144,0.8665262706759088,8
L-Alanine,Salivary/Submucosal_glands,-0.07142857142857144,0.8665262706759088,8
Urea,Conventional_CD4,-0.08571428571428573,0.8717434402332361,6
Cholesterol,Mesoderm,-0.09523809523809526,0.8225054302036114,8
L-Leucine,NK,-0.09523809523809526,0.8225054302036114,8
Cholic acid,Glia,-0.09523809523809526,0.8225054302036114,8
Cholesterol,Salivary/Submucosal_glands,-0.09523809523809526,0.8225054302036114,8
Cholic acid,Cycling_epithelia,-0.09759000729485333,0.8181772027352759,8
Cholesterol,Mesothelium,-0.09759000729485333,0.8181772027352759,8
Cholic acid,Cycling_T/NK,-0.09759000729485333,0.8181772027352759,8
Bile acid,Transit_amplifying,-0.09999999999999999,0.8728885715695384,5
Bile acid,Secretory,-0.09999999999999999,0.8728885715695384,5
Bile acid,Neuron,-0.09999999999999999,0.8728885715695384,5
Bile acid,Granulocyte,-0.09999999999999999,0.8728885715695384,5
Urea,Neuron_progenitor,-0.101418510567422,0.8483938150603566,6
L-Leucine,Keratinocyte,-0.10910894511799621,0.7970385741881916,8
Cholic acid,Conventional_CD4,-0.11904761904761905,0.7788857260523796,8
Citric acid,Transit_amplifying,-0.11904761904761905,0.7788857260523796,8
L-Alanine,Secretory,-0.11904761904761905,0.7788857260523796,8
L-Serine,Lymphoid_stromal_cell,-0.11904761904761905,0.7788857260523796,8
L-Alanine,Mesothelium,-0.12198750911856665,0.7735324033272464,8
Fatty acid,Mesothelium,-0.12198750911856665,0.7735324033272464,8
Urea,Treg,-0.14285714285714288,0.7871720116618076,6
Urea,Mesoderm,-0.14285714285714288,0.7871720116618076,6
L-Serine,B_plasma,-0.14285714285714288,0.735764859879812,8
L-Leucine,Secretory,-0.14285714285714288,0.735764859879812,8
L-Leucine,DC,-0.14285714285714288,0.735764859879812,8
L-Asparagine,Myoblast/myocyte,-0.14285714285714288,0.735764859879812,8
L-Leucine,Mature_B,-0.14285714285714288,0.735764859879812,8
L-Cysteine,Lymphoid_stromal_cell,-0.14285714285714288,0.735764859879812,8
L-Cysteine,Salivary/Submucosal_glands,-0.14285714285714288,0.735764859879812,8
L-Leucine,Immature_B,-0.14285714285714288,0.735764859879812,8
L-Cysteine,Secretory,-0.14285714285714288,0.735764859879812,8
L-Alanine,Neuron_progenitor,-0.15220388682955233,0.7189945297389642,8
L-Histidine,Unconventional_T/ILC,-0.15569141404872366,0.7127617079991629,8
L-Histidine,Melanocyte,-0.1666666666666667,0.693238811728395,8
L-Leucine,Monocyte,-0.1666666666666667,0.693238811728395,8
L-Cysteine,Mesoderm,-0.1666666666666667,0.693238811728395,8
L-Asparagine,Epithelial_stem,-0.1666666666666667,0.693238811728395,8
L-Asparagine,Mesothelium,-0.17078251276599335,0.6859547529411324,8
L-Leucine,Cycling_T/NK,-0.17078251276599335,0.6859547529411324,8
L-Serine,Cycling_epithelia,-0.17078251276599335,0.6859547529411324,8
L-Alanine,Lymphoid_stromal_cell,-0.19047619047619052,0.6514014957024814,8
L-Cysteine,Absorptive,-0.19047619047619052,0.6514014957024814,8
L-Asparagine,Absorptive,-0.19047619047619052,0.6514014957024814,8
L-Cysteine,Microfold,-0.19047619047619052,0.6514014957024814,8
L-Histidine,Monocyte,-0.19047619047619052,0.6514014957024814,8
L-Asparagine,Microfold,-0.19047619047619052,0.6514014957024814,8
Fatty acid,Mesoderm,-0.19047619047619052,0.6514014957024814,8
L-Histidine,NK,-0.19047619047619052,0.6514014957024814,8
L-Serine,Myoblast/myocyte,-0.19047619047619052,0.6514014957024814,8
L-Cysteine,Cycling_epithelia,-0.19518001458970666,0.6432255386372303,8
Bile acid,Glia,-0.19999999999999998,0.7470600781046621,5
Urea,Immature_B,-0.2,0.7040000000000001,6
Urea,Mature_B,-0.2,0.7040000000000001,6
Urea,NK,-0.2,0.7040000000000001,6
Urea,Cycling_T/NK,-0.21251185925162072,0.686030866008896,6
L-Alanine,Transit_amplifying,-0.2142857142857143,0.6103444156452669,8
Cholic acid,Basal,-0.2142857142857143,0.6103444156452669,8
L-Histidine,DC,-0.2142857142857143,0.6103444156452669,8
L-Serine,Secretory,-0.2142857142857143,0.6103444156452669,8
L-Cysteine,Neuron_progenitor,-0.21562217300853245,0.6080647738950006,8
L-Serine,Neuron_progenitor,-0.21562217300853245,0.6080647738950006,8
L-Histidine,Keratinocyte,-0.21821789023599242,0.6036450565101362,8
L-Cysteine,Mesothelium,-0.21957751641341997,0.6013342104769552,8
Bile acid,Cycling_T/NK,-0.22360679774997896,0.7176856442107858,5
Bile acid,Keratinocyte,-0.22360679774997896,0.7176856442107858,5
L-Asparagine,B_plasma,-0.2380952380952381,0.5701563208157683,8
Cholic acid,Granulocyte,-0.2380952380952381,0.5701563208157683,8
Cholesterol,Myoblast/myocyte,-0.2380952380952381,0.5701563208157683,8
Cholic acid,Neuron,-0.2380952380952381,0.5701563208157683,8
L-Histidine,Mature_B,-0.2380952380952381,0.5701563208157683,8
L-Serine,Salivary/Submucosal_glands,-0.2380952380952381,0.5701563208157683,8
L-Leucine,Transit_amplifying,-0.2380952380952381,0.5701563208157683,8
L-Cysteine,B_plasma,-0.2380952380952381,0.5701563208157683,8
L-Histidine,Immature_B,-0.2380952380952381,0.5701563208157683,8
Cholesterol,Vascular_endothelia,-0.2380952380952381,0.5701563208157683,8
L-Alanine,Cycling_epithelia,-0.2439750182371333,0.5603755849633288,8
L-Histidine,Cycling_epithelia,-0.2439750182371333,0.5603755849633288,8
Urea,Pericyte,-0.2571428571428572,0.6227871720116619,6
L-Histidine,Basal,-0.261904761904762,0.530922861565801,8
L-Histidine,Conventional_CD8,-0.261904761904762,0.530922861565801,8
Citric acid,Secretory,-0.261904761904762,0.530922861565801,8
Citric acid,Neuron,-0.261904761904762,0.530922861565801,8
Cholic acid,Immature_B,-0.261904761904762,0.530922861565801,8
Cholic acid,Mature_B,-0.261904761904762,0.530922861565801,8
Cholic acid,Conventional_CD8,-0.261904761904762,0.530922861565801,8
Cholic acid,DC,-0.261904761904762,0.530922861565801,8
Cholic acid,Lymphatic_endothelia,-0.261904761904762,0.530922861565801,8
Cholesterol,Neuron_progenitor,-0.26635680195171657,0.5236994175768589,8
L-Histidine,Cycling_T/NK,-0.26837252006084666,0.5204409776823382,8
L-Asparagine,Neuron_progenitor,-0.2790404591875126,0.5033235938564057,8
L-Histidine,Neuron_progenitor,-0.2790404591875126,0.5033235938564057,8
L-Serine,Mesoderm,-0.28571428571428575,0.49272624501695717,8
Citric acid,Glia,-0.28571428571428575,0.49272624501695717,8
L-Alanine,B_plasma,-0.28571428571428575,0.49272624501695717,8
L-Histidine,Erythrocyte,-0.28571428571428575,0.49272624501695717,8
L-Serine,Absorptive,-0.28571428571428575,0.49272624501695717,8
Fatty acid,Epithelial_stem,-0.28571428571428575,0.49272624501695717,8
L-Cysteine,Transit_amplifying,-0.28571428571428575,0.49272624501695717,8
Cholesterol,Fibroblast,-0.28571428571428575,0.49272624501695717,8
L-Serine,Microfold,-0.28571428571428575,0.49272624501695717,8
Bile acid,DC,-0.3,0.623837664781073,5
Bile acid,Monocyte,-0.3,0.623837664781073,5
Bile acid,Pericyte,-0.3,0.623837664781073,5
L-Leucine,Erythrocyte,-0.30952380952380953,0.4556448907375822,8
Cholic acid,Pericyte,-0.30952380952380953,0.4556448907375822,8
L-Asparagine,Secretory,-0.30952380952380953,0.4556448907375822,8
Fatty acid,Cycling_epithelia,-0.31716752370827334,0.4439892416323507,8
L-Histidine,Cycling_endothelia,-0.3233590907165799,0.4346394485508573,8
Cholic acid,Keratinocyte,-0.3273268353539886,0.42869150723531324,8
L-Leucine,Melanocyte,-0.3333333333333334,0.4197530864197532,8
L-Asparagine,Lymphoid_stromal_cell,-0.3333333333333334,0.4197530864197532,8
Citric acid,Intestinal_Cajal_cell,-0.3333333333333334,0.4197530864197532,8
L-Histidine,Treg,-0.3333333333333334,0.4197530864197532,8
L-Histidine,Conventional_CD4,-0.3333333333333334,0.4197530864197532,8
Urea,Keratinocyte,-0.3380617018914066,0.5122252586995417,6
