Patient_ID,feature,difference,analysis_layer,feature_class,region,gene
106392,L-Asparagine,7.336422665921397,harreman_metabolite_z,metabolite,,
106392,L-Aspartate,-0.0114685151359638,harreman_metabolite_z,metabolite,,
106392,L-Carnitine,-0.1099184532059647,harreman_metabolite_z,metabolite,,
106392,L-Cysteine,7.351347300275126,harreman_metabolite_z,metabolite,,
106392,L-Cystine,4.572254003643339,harreman_metabolite_z,metabolite,,
106392,L-Dopa,6.445196596501945,harreman_metabolite_z,metabolite,,
106392,L-Glutamate,3.600186564822053,harreman_metabolite_z,metabolite,,
106392,L-Glutamine,10.232342003390857,harreman_metabolite_z,metabolite,,
106392,L-Histidine,5.078997813335651,harreman_metabolite_z,metabolite,,
106392,L-Homoserine,-0.4688341486123718,harreman_metabolite_z,metabolite,,
106392,L-Isoleucine,-0.8215910503748176,harreman_metabolite_z,metabolite,,
106392,L-Lactate,1.0130390041198165,harreman_metabolite_z,metabolite,,
106392,L-Leucine,-2.689943621410629,harreman_metabolite_z,metabolite,,
106392,L-Lysine,2.01167158379151,harreman_metabolite_z,metabolite,,
106392,L-Methionine,-0.7293333415033096,harreman_metabolite_z,metabolite,,
106392,L-Ornithine,2.01167158379151,harreman_metabolite_z,metabolite,,
106392,L-Phenylalanine,-1.7324656573414965,harreman_metabolite_z,metabolite,,
106392,L-Proline,1.873474060155882,harreman_metabolite_z,metabolite,,
106392,L-Serine,3.149117018904008,harreman_metabolite_z,metabolite,,
106392,L-Threonine,-0.1973836282451202,harreman_metabolite_z,metabolite,,
106392,L-Tryptophan,-0.0469055295099938,harreman_metabolite_z,metabolite,,
106392,L-Tyrosine,-1.886506011326734,harreman_metabolite_z,metabolite,,
106392,L-Valine,-0.8215910503748176,harreman_metabolite_z,metabolite,,
106392,Leukotriene C4,0.0717943706614472,harreman_metabolite_z,metabolite,,
106392,Linoleic acid,0.0809926508342185,harreman_metabolite_z,metabolite,,
106392,Liothyronine,-0.154114785539264,harreman_metabolite_z,metabolite,,
106392,Lithocholic acid,0.1270477798478675,harreman_metabolite_z,metabolite,,
106392,Long-chain fatty acid,-1.6284328599113014,harreman_metabolite_z,metabolite,,
106392,Lysophosphatidylcholine,1.065891011877276,harreman_metabolite_z,metabolite,,
106392,Magnesium,-1.238335230478317,harreman_metabolite_z,metabolite,,
106392,Malate,12.690356721436777,harreman_metabolite_z,metabolite,,
106392,Malic acid,-0.1060606916132197,harreman_metabolite_z,metabolite,,
106392,Manganese,0.3231975737365097,harreman_metabolite_z,metabolite,,
106392,Myoinositol,0.3262894117147789,harreman_metabolite_z,metabolite,,
106392,Myristic acid,-0.6450646383439209,harreman_metabolite_z,metabolite,,
106392,N-Desmethylcitalopram,1.466715918708256,harreman_metabolite_z,metabolite,,
106392,N-Desmethyleletriptan,0.8899696673168802,harreman_metabolite_z,metabolite,,
106392,N-Desmethyltamoxifen,6.457424791962955,harreman_metabolite_z,metabolite,,
106392,N-desmethylimatinib,6.457424791962955,harreman_metabolite_z,metabolite,,
106392,Neurotransmitter,-0.0210915124669493,harreman_metabolite_z,metabolite,,
106392,Nickel,0.4013470230506878,harreman_metabolite_z,metabolite,,
106392,Nicotinate,5.028076684103748,harreman_metabolite_z,metabolite,,
106392,Norepinephrine,0.6968044624004616,harreman_metabolite_z,metabolite,,
106392,Nucleobases,-2.0518913577846627,harreman_metabolite_z,metabolite,,
106392,Nucleoside,0.2331963433940611,harreman_metabolite_z,metabolite,,
106392,O-Deethylated candesartan,0.8899696673168802,harreman_metabolite_z,metabolite,,
106392,O-Desmethylverapamil (D-702),5.273197032647424,harreman_metabolite_z,metabolite,,
106392,Oleic acid,0.0809926508342185,harreman_metabolite_z,metabolite,,
106392,Oxalic acid,-2.655716280540604,harreman_metabolite_z,metabolite,,
106392,Palmitic acid,-0.5634668508195668,harreman_metabolite_z,metabolite,,
106392,Palmitoleic acid,0.0091533417368263,harreman_metabolite_z,metabolite,,
106392,Pentadecanoic acid,-1.025597268194044,harreman_metabolite_z,metabolite,,
106392,Phosphate,0.4974326296917981,harreman_metabolite_z,metabolite,,
106392,Potassium,0.0273311199550342,harreman_metabolite_z,metabolite,,
106392,Progesterone,1.7905080781067344,harreman_metabolite_z,metabolite,,
106392,Propionate,2.8055454714961705,harreman_metabolite_z,metabolite,,
106392,Prostaglandins,-3.4955335139492223,harreman_metabolite_z,metabolite,,
106392,Putrescine,-0.0278205780270488,harreman_metabolite_z,metabolite,,
106392,Pyruvate,0.1398993709616647,harreman_metabolite_z,metabolite,,
106392,Riboflavin,1.056642874915362,harreman_metabolite_z,metabolite,,
106392,Serotonin,0.3143381401806167,harreman_metabolite_z,metabolite,,
106392,Sodium,8.481338534611155,harreman_metabolite_z,metabolite,,
106392,Sodium-dependent phosphate transport,-0.0329139974607636,harreman_metabolite_z,metabolite,,
106392,Sodium_calcium exchange,1.6881591817336037,harreman_metabolite_z,metabolite,,
106392,Sodium_calcium_potassium exchange,-5.98833734728866,harreman_metabolite_z,metabolite,,
106392,Sodium_hydrogen exchange,-0.7869306458071632,harreman_metabolite_z,metabolite,,
106392,Sodium_nucleoside symport,4.005625400445542,harreman_metabolite_z,metabolite,,
106392,Spermine,-0.0278205780270488,harreman_metabolite_z,metabolite,,
106392,Stearic acid,-0.5634668508195668,harreman_metabolite_z,metabolite,,
