gene,Absorptive,B_plasma,Basal,Conventional_CD4,Conventional_CD8,Cycling_T/NK,Cycling_endothelia,Cycling_epithelia,DC,Enteroendocrine,Epithelial_progenitor,Epithelial_stem,Erythrocyte,Fibroblast,Glia,Granulocyte,Immature_B,Intestinal_Cajal_cell,Keratinocyte,Lymphatic_endothelia,Lymphoid_stromal_cell,Macrophage,Mature_B,Megakaryocyte/platelet,Melanocyte,Mesoderm,Mesothelium,Microfold,Monocyte,Myoblast/myocyte,Myofibroblast,NK,Neuron,Neuron_progenitor,Pericyte,Salivary/Submucosal_glands,Secretory,Smooth_muscle,Transit_amplifying,Treg,Unconventional_T/ILC,Vascular_endothelia,signature_variance
TMC6,1.0,1.0,1.0,105.646868510607,98.4879623024899,65.4890966470331,1.0,1.0,36.4311108676839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.5250100794939,1.0,1.0,1.0,1.0,76.3799007990536,70.1374269371023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.668994977839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.9574121951362,126.435373580309,1.0,2.5889530359432182
DEPP1,1.0,1.0,1.0,1.0,1.0,1.0,115.056639146996,1.0,1.0,1048.66996311131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.150341468628,91.1461888234493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.9369029900066,1.0,1.0,1.0,1.0,231.431856765512,2.588857017840976
ALDH3A2,47.1801370406715,1.0,169.156263950896,1.0,1.0,1.0,1.0,90.7025545058666,1.0,1.0,43.5715433199175,53.0279105980024,1.0,1.0,40.4200507344593,1.0,1.0,1.0,87.0441806390959,80.0698901820688,1.0,1.0,1.0,1.0,1.0,1.0,43.4452955020645,29.9394250702266,1.0,72.1321752376477,1.0,1.0,1.0,1.0,1.0,45.2323931437232,1.0,1.0,47.8621683368646,1.0,1.0,1.0,2.5846051609572163
ANKRD36C,1.0,1.0,1.0,1.0,1.0,63.4764731726098,44.669522102919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.4605310048121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.8027735657556,1.0,1.0,1.0,36.7914824071128,1.0,1.0,58.5232884243341,41.6844410628643,1.0,257.076470869675,225.392341883879,43.0798543084949,55.1578407567925,1.0,1.0,1.0,2.5837220535932044
TET1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.9723146761031,1.0,1.0,70.6717016702813,82.3507215027368,1.0,1.0,95.1911414417854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.954381607112,53.4078212878398,1.0,1.0,65.3674775079693,97.4018134682739,1.0,51.951831281369,75.6036770356305,56.8126235321032,1.0,1.0,48.7952978677078,1.0,1.0,1.0,1.0,2.582904239376258
PPIF,1.0,1.0,58.7394689755873,1.0,1.0,38.6952184699114,1.0,58.8164722208297,96.2312091165115,1.0,68.8860098332104,46.6463827976446,1.0,1.0,1.0,1.0,1.0,1.0,53.3496535257994,1.0,1.0,1.0,1.0,95.5715929931908,1.0,1.0,38.8472654024957,36.9980660227483,169.102830263769,1.0,1.0,1.0,1.0,38.8684792345709,1.0,1.0,1.0,1.0,48.1617473979126,1.0,1.0,1.0,2.582695955808859
VPS13A,119.71558822651,1.0,1.0,1.0,1.0,41.0614329953121,1.0,30.8224282350659,1.0,110.890071661181,71.587100093071,77.04882767586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.1760546595087,1.0,1.0,1.0,190.143185986382,1.0,1.0,1.0,121.472779595521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.4031570334556,1.0,1.0,1.0,2.5811721561045475
CYFIP2,1.0,1.0,1.0,70.2968020614568,110.554899607273,94.4078651083198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,121.904029314391,1.0,1.0,1.0,1.0,1.0,93.3882267334523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.576354586216,48.7979882148729,1.0,1.0,1.0,1.0,1.0,1.0,86.0068377024515,133.098280199846,1.0,2.581095926653277
SLITRK6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.870632303857,257.244053931532,1.0,1.0,1.0,1.0,1.0,82.163858105958,1.0,1.0,1.0,1.0,131.633918070936,32.3281692434197,1.0,1.0,1.0,79.680780975811,1.0,1.0,188.868879901728,1.0,108.242763917696,1.0,1.0,1.0,1.0,1.0,1.0,2.578827638813483
MIR205HG,1.0,1.0,2854.4377815204,1.0,1.0,1.0,1.0,461.59046706134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,536.711532611443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.57845920250256
