metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
Tetracosanoic acid,-0.07922585043580455,0.06193892773162202,0.6811483454969013,5,4,1,0.8
L-Homoserine,-0.11076584953038951,-0.28386806012938703,0.5741113975641451,8,3,5,0.375
Glutathione,-0.15605711412570428,0.32101581187820427,2.9312306578942966,8,4,4,0.5
Neurotransmitter,-0.16152936291582887,0.007278718387169446,0.5055244641080574,8,4,4,0.5
Dehydroascorbic acid,-0.18756812032315717,-1.8485990366690235,5.975835476780667,8,3,5,0.375
Chloride ion,-0.2144716765578023,1.907044504655878,5.836904498648631,8,5,3,0.625
Serotonin,-0.23836905794041133,0.3143381401806167,3.987226452142049,3,2,1,0.6666666666666666
Cyclic AMP,-0.2607519263786674,-0.03612452794605714,1.5418938586453064,8,4,4,0.5
Sodium_calcium exchange,-0.29202593748008576,-1.5423040739020508,2.6775183024501557,8,3,5,0.375
Chloride_bicarbonate anion exchange,-0.2932210324037941,-0.19341817438063114,2.188917985627231,8,4,4,0.5
25-Hydroxycholesterol,-0.3109539881955497,0.311216476463829,3.430812417331547,8,5,3,0.625
Folinic acid,-0.3305898839142232,-0.8492125215648576,3.4046537226216063,8,4,4,0.5
Amiloride-sensitive sodium transport,-0.38815129490469724,-0.7287475275313069,1.9812738978108326,8,3,5,0.375
Magnesium,-0.4195915081994451,-1.2003507209168207,1.5052958496104663,8,3,5,0.375
Dopamine,-0.4867348260400277,0.026842007957393887,1.3392107888914129,8,4,4,0.5
Norepinephrine,-0.4867348260400277,0.026842007957393887,1.3392107888914129,8,4,4,0.5
Histamine,-0.4867348260400277,0.026842007957393887,1.3392107888914129,8,4,4,0.5
all-trans-Retinoic acid,-0.5231399256201507,-0.43921365553751446,1.5426027819740418,7,2,5,0.2857142857142857
Adenine,-0.564726907139005,-0.5172907230555286,1.1347180674100117,8,2,6,0.25
Long-chain fatty acid,-0.5658781758556242,-0.6354183741105213,2.5459640145575384,8,3,5,0.375
alpha-Tocopherol,-0.5775867144572016,1.2757837305513813,7.045249041155221,8,6,2,0.75
Citrate,-0.5902491134997746,1.4212279666043952,26.505999675188484,5,3,2,0.6
Fumarate,-0.5902491134997746,1.4212279666043952,26.505999675188484,5,3,2,0.6
Malate,-0.5902491134997746,1.4212279666043952,26.505999675188484,5,3,2,0.6
Acetyl-L-Carnitine,-0.6219974698028368,-0.4966070574370431,0.973470881485762,8,4,4,0.5
Chloride,-0.6325383612843885,-0.2627394030055382,2.0495487491936473,8,3,5,0.375
Phosphate,-0.6723062809888103,-0.5651289828143202,2.4927842143779944,8,4,4,0.5
Choline,-0.7212697534233306,0.7981881845541814,7.95645776177335,8,4,4,0.5
D-Mannose,-0.7603318824657535,-0.7230960687706274,4.684124764446452,8,4,4,0.5
L-Carnitine,-0.7839674939560277,-0.6464144342182554,1.2128822141882762,8,2,6,0.25
Sodium_calcium_potassium exchange,-1.0791420810252403,-0.5103876255357036,2.2832465687779937,8,3,5,0.375
Riboflavin,-1.0871401089995363,0.23110034462051093,3.4996972257021706,8,5,3,0.625
Myoinositol,-1.1085080665460372,-1.203767154838284,1.218766366496542,8,2,6,0.25
4-ene-Valproic acid,-1.1135137885379907,-0.4434896384940088,3.1895426721026348,8,4,4,0.5
D-Glucose,-1.1277861836911547,-2.001980401928214,6.5588193387270755,8,3,5,0.375
D-Lactate,-1.1733774124492795,-0.4015530581175084,2.6476876018214366,8,4,4,0.5
alpha-Ketoisovaleric acid,-1.1733774124492795,-0.4015530581175084,2.6476876018214366,8,4,4,0.5
Ketone bodies,-1.1733774124492795,-0.4015530581175084,2.6476876018214366,8,4,4,0.5
L-Cystine,-1.2340940954668658,2.922100556303109,7.936644772547853,8,5,3,0.625
Glycyl-glycine,-1.3247086646206085,-3.608208410298138,28.650779820095742,5,2,3,0.4
Progesterone,-1.4392726163354599,0.47506941140475933,4.1700644838337855,8,5,3,0.625
4'-Hydroxydiclofenac,-1.4538125602104646,-0.12389830346901975,3.515123399126061,8,4,4,0.5
Glucosamine,-1.7112535250500405,-2.6621873801937053,6.096004981908905,8,3,5,0.375
Vitamin C,-1.8812553674544943,-0.890304764759078,3.939170644611832,8,4,4,0.5
Vitamin A,-2.381859594638638,-0.40815019062348235,21.95731634713166,8,4,4,0.5
Succinate,-2.4413555738064847,-0.9303514592631509,8.59148843530326,8,4,4,0.5
"3',4'-Dihydrodiol",-2.453068864711647,-0.990942751687161,6.46447354248601,8,3,5,0.375
17a-Ethynylestradiol,-2.453078513981889,-0.990942751687161,6.464489269556787,8,3,5,0.375
Pyruvate,-2.5372820339550968,-2.435798236449908,3.3187713821059526,8,2,6,0.25
L-Lactate,-2.911149693331888,-1.9770178496668116,5.063180545784224,8,2,6,0.25
Thymidine,-2.9286359888208167,-2.756186526393971,8.913034347286198,8,3,5,0.375
Vitamin D3,-2.9323183652380465,-3.5268353376672748,9.941262532683767,8,4,4,0.5
Calcium,-3.065620991011452,-0.1991464113075744,3.8694206788957968,7,1,6,0.14285714285714285
Calcidiol,-3.065620991011452,-0.1991464113075744,3.8694206788957968,7,1,6,0.14285714285714285
Uridine,-3.23270045149769,-3.0182967327929737,8.95636973957105,8,3,5,0.375
Guanosine,-3.23270045149769,-3.0182967327929737,8.95636973957105,8,3,5,0.375
Cytidine,-3.23270045149769,-3.0182967327929737,8.95636973957105,8,3,5,0.375
