donor_id,status,annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
110645,N,NAMPThi-Neutrophils,imu,42,0.0014447665,0.09712152,0.028670022,0.09772106,0.25322315,0.21705048,0.8514824,0.20094134,0.0351117,0.0,0.11985291
110645,N,Neutrophils,imu,14,0.0,0.0,0.11596332,0.028260265,0.05667926,0.08431024,1.1432571,0.06279249,0.016418848,0.0,0.07757352
110645,N,PLGC2-hi T cells,imu,5,0.0,0.0,0.0,0.0,0.022505056,0.060760874,0.024265746,0.04290217,0.0,0.0,0.048756324
110645,N,Paneth cells,imu,3,0.017228363,0.0,0.8565747,0.06025024,0.02840536,0.06627189,0.0,0.09619516,0.0,0.031585332,0.05705312
110645,N,Pericytes,imu,7,0.0,0.44250473,0.026558723,0.07831879,0.13721396,0.2696918,0.19724728,0.1214411,0.0054482855,0.0,0.14833392
110645,N,Plasma cells-IgA,epi,2,0.0,0.0,0.1082564,0.0541282,0.0,0.038409278,0.059541017,0.045800783,0.0,0.0,0.23592995
110645,N,Plasma cells-IgA,imu,39,0.0,0.010740771,0.041450754,0.051353607,0.0513869,0.036978588,0.052593518,0.09695442,0.0073293555,0.0,0.099327564
110645,N,Plasma cells-IgG,imu,14,0.0034450232,0.0123993335,0.19060694,0.07308402,0.083736874,0.036010444,0.048179753,0.10365222,0.0,0.006315876,0.07285653
110645,N,Regulatory T cells,epi,1,0.0,0.0,0.10812323,0.10812323,0.0,0.0,0.0,0.09148889,0.0,0.0,0.0
110645,N,Regulatory T cells,imu,15,0.0,0.0,0.036894303,0.04030203,0.12832107,0.09250967,0.048546325,0.10562155,0.0070440345,0.0,0.05586338
110645,N,Stem-like cells-OLFM4-hi,epi,13,0.03268051,0.0054670423,0.30353734,0.15193127,0.2123327,0.09066289,0.06799004,0.34090915,0.017687174,0.059914272,0.06475568
110645,N,Stem-like cells-OLFM4-hi,imu,16,0.030176291,0.010126274,0.6742417,0.13089022,0.176125,0.12512212,0.024183465,0.23098147,0.010295492,0.06824163,0.06656004
110645,N,Tissue fibroblast,epi,3,0.0,0.921166,0.13925456,0.1201485,0.193244,0.09068686,0.053637963,0.26306105,0.10154865,0.0,0.02216121
110645,N,Tissue fibroblast,imu,29,0.0033656883,0.8121317,0.042907573,0.089576185,0.21944694,0.16129078,0.06528751,0.26561645,0.044595458,0.0,0.05140794
110645,N,Tissue macrophage,imu,4,0.0,0.024271928,0.1410177,0.0,0.05422917,0.11148432,0.082358,0.022404857,0.0,0.048543856,0.07036053
110645,N,Tissue macrophage-KRT-hi,imu,4,0.022905326,0.0,0.43585274,0.17556298,0.115527056,0.09277859,0.18019573,0.12984033,0.015976217,0.05621848,0.13063227
110645,N,Trophocyte,imu,6,0.0,0.5641046,0.0074837706,0.041972443,0.10921255,0.10156947,0.16408837,0.13916291,0.04220614,0.0,0.13406761
110645,N,Tuft cells,epi,20,0.0,0.036332946,0.53379035,0.14260092,0.14150605,0.07415734,0.02398994,0.23731598,0.015910903,0.0,0.06527088
110645,N,Tuft cells,imu,31,0.0081461845,0.013697173,0.348858,0.053175356,0.08986481,0.053436674,0.028319476,0.13638698,0.0042979303,0.01493467,0.06439123
110645,N,Venous endothelium,imu,16,0.011214709,0.1473539,0.0,0.09117877,0.1120149,0.07873578,0.05368471,0.09233315,0.023188248,0.007370168,0.017816748
1107081,H,B cells,imu,1,0.15495999,0.0,0.15495999,0.0,0.121754274,0.0,0.0,0.26224,0.0,0.0,0.0
1107081,H,CD8 intraepithelial cells,epi,27,0.051607106,0.0018032349,0.03260027,0.0685475,0.16152191,0.09892348,0.013548209,0.18445002,0.00603514,0.025473626,0.02279483
1107081,H,CD8 intraepithelial cells,imu,169,0.038247336,0.008122935,0.011600069,0.043461647,0.24131516,0.1357728,0.04061133,0.26474786,0.0028549647,0.025621733,0.032820225
1107081,H,CXCR6-hi CD4 T cells,imu,2,0.0,0.0,0.0,0.0,0.0,0.08389883,0.0,0.06453756,0.0,0.0,0.0
1107081,H,Colonocytes-LGALS4-hi,epi,5,0.2064584,0.009321632,0.7902509,0.29558355,0.3908916,0.15082656,0.0048648366,0.68478024,0.06787505,0.010535201,0.0
1107081,H,Colonocytes-LGALS4-hi,imu,14,0.10788929,0.0,0.72336304,0.25950846,0.22703376,0.057808943,0.0074674333,0.49695513,0.025162335,0.053206515,0.038895972
