annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
B cells,imu,epithelial_bile_urea_transport_mean,0.0036516953259706497,0.004362625535577536,0.0007109302096068859,0.003009563311934471,-0.0006421320140361786
B cells,imu,fibrotic_amino_acid_transport_mean,0.023093439638614655,0.026905395090579987,0.003811955451965332,0.03582850471138954,0.012735065072774887
CCR7hi CD4 T cells,epi,bile_acid_transport_mean,0.0016853848937898874,0.0006876015686430037,-0.0009977833251468837,0.0,-0.0016853848937898874
CCR7hi CD4 T cells,epi,ecm_remodeling_mean,0.004069926682859659,0.005439823027700186,0.0013698963448405266,0.0,-0.004069926682859659
CCR7hi CD4 T cells,epi,epithelial_repair_mean,0.053752243518829346,0.007010939996689558,-0.04674130352213979,0.07258602231740952,0.01883377879858017
CCR7hi CD4 T cells,epi,fatty_acid_metabolism_mean,0.02627640962600708,0.024988487362861633,-0.0012879222631454468,0.04438180848956108,0.018105398863554
CCR7hi CD4 T cells,epi,glycolysis_mean,0.08087747544050217,0.094978466629982,0.014100991189479828,0.043929874897003174,-0.03694760054349899
CCR7hi CD4 T cells,epi,hypoxia_mean,0.06678075343370438,0.0689617171883583,0.0021809637546539307,0.023579217493534088,-0.04320153594017029
CCR7hi CD4 T cells,epi,inflammation_mean,0.05407971888780594,0.04083326458930969,-0.013246454298496246,0.11116936057806015,0.05708964169025421
CCR7hi CD4 T cells,epi,oxidative_phosphorylation_mean,0.10737818479537964,0.14257517457008362,0.03519698977470398,0.0549449659883976,-0.05243321880698204
CCR7hi CD4 T cells,epi,retinoid_vitamin_a_mean,0.0023023176472634077,0.0007773132529109716,-0.001525004394352436,0.0032972467597573996,0.0009949291124939919
CCR7hi CD4 T cells,epi,epithelial_bile_urea_transport_mean,0.002628746908158064,0.001997093204408884,-0.0006316537037491798,0.0,-0.002628746908158064
CCR7hi CD4 T cells,epi,fibrotic_amino_acid_transport_mean,0.02694600634276867,0.02582511492073536,-0.00112089142203331,0.044730667024850845,0.017784660682082176
CCR7hi CD4 T cells,imu,bile_acid_transport_mean,0.0030634868890047073,0.0005689662648364902,-0.002494520624168217,0.0,-0.0030634868890047073
CCR7hi CD4 T cells,imu,ecm_remodeling_mean,0.005370855797082186,0.005110758822411299,-0.000260096974670887,0.004054106771945953,-0.0013167490251362324
CCR7hi CD4 T cells,imu,epithelial_repair_mean,0.02800908125936985,0.00806450005620718,-0.01994458120316267,0.013064708560705185,-0.014944372698664665
CCR7hi CD4 T cells,imu,fatty_acid_metabolism_mean,0.018821250647306442,0.019813666120171547,0.0009924154728651047,0.02389697916805744,0.0050757285207509995
CCR7hi CD4 T cells,imu,glycolysis_mean,0.09573739767074585,0.08941803872585297,-0.006319358944892883,0.07619236409664154,-0.01954503357410431
CCR7hi CD4 T cells,imu,hypoxia_mean,0.06422919034957886,0.07257547974586487,0.00834628939628601,0.07041678577661514,0.006187595427036285
CCR7hi CD4 T cells,imu,inflammation_mean,0.030505800619721413,0.04131774604320526,0.010811945423483849,0.05923478677868843,0.028728986158967018
CCR7hi CD4 T cells,imu,oxidative_phosphorylation_mean,0.13340693712234497,0.13392877578735352,0.0005218386650085449,0.11504919826984406,-0.018357738852500916
CCR7hi CD4 T cells,imu,retinoid_vitamin_a_mean,0.0012742901453748345,0.0014241833705455065,0.00014989322517067194,0.0036432226188480854,0.002368932473473251
