top_fraction,region,gene,priority,mean_fibrotic_minus_adjacent_region_expression,median_fibrotic_minus_adjacent_region_expression,n_patients,positive_patient_fraction
0.2,epithelial_absorptive_region,SLCO2B1,False,0.022913402737118053,0.007039035289446438,8,0.625
0.2,epithelial_bile_region,ABCB1,True,-0.21080202267902357,-0.018836628668527217,8,0.5
0.2,epithelial_bile_region,ABCC3,True,-0.049866437427062225,0.011125981085492606,8,0.5
0.2,epithelial_bile_region,SLC10A2,True,-0.5071455091774775,-0.16467865165009204,8,0.25
0.2,epithelial_bile_region,SLC15A3,False,0.12676462443740677,0.08132811964847134,8,0.875
0.2,epithelial_bile_region,SLC1A4,False,0.02947822462071214,0.0189837211356587,8,0.875
0.2,epithelial_bile_region,SLC1A5,False,0.03262719536680602,0.029508656335411696,8,0.75
0.2,epithelial_bile_region,SLC38A2,False,0.09620950013367802,0.0697463648687911,8,0.625
0.2,epithelial_bile_region,SLC51A,True,-0.2404867066708279,-0.4405322880029021,8,0.25
0.2,epithelial_bile_region,SLC51B,True,-0.23641773202483016,-0.31531472547274864,8,0.25
0.2,epithelial_bile_region,SLC5A1,True,-0.6336003657322984,-0.3002013816172924,8,0.375
0.2,epithelial_bile_region,SLC7A5,False,0.04013871878875966,0.010842827189939997,8,0.75
0.2,epithelial_bile_region,SLCO2B1,False,0.031526198976560796,0.002554878793457699,8,0.5
0.2,immune_inflammatory_region,ABCB1,False,-0.03327771045545757,-0.004926255419316135,8,0.375
0.2,immune_inflammatory_region,ABCC3,False,-0.013818364720753044,0.0026435287548602273,8,0.5
0.2,immune_inflammatory_region,SLC10A2,False,-0.1138157866975466,-0.040300184477474,8,0.25
0.2,immune_inflammatory_region,SLC15A3,False,0.058222052368657226,0.04492268260271717,8,0.75
0.2,immune_inflammatory_region,SLC1A4,False,0.027051232228804994,0.021964666968372813,8,0.625
0.2,immune_inflammatory_region,SLC1A5,False,0.014525565220297429,0.020700978490931332,8,0.625
0.2,immune_inflammatory_region,SLC38A2,False,0.08152128148996982,0.06886894881932365,8,0.75
0.2,immune_inflammatory_region,SLC51A,False,-0.046993144848765635,-0.05532394360798533,8,0.25
0.2,immune_inflammatory_region,SLC51B,False,-0.045210455331839754,-0.027591287292656946,8,0.25
0.2,immune_inflammatory_region,SLC5A1,False,-0.14555155102205466,-0.27998842697294907,8,0.375
0.2,immune_inflammatory_region,SLC7A5,False,0.03478852729646042,0.02061422850918466,8,0.75
0.2,immune_inflammatory_region,SLCO2B1,True,0.030944905512124053,0.04686371152521876,8,0.625
0.2,stromal_fibrotic_region,ABCB1,False,-0.02337795215266306,-0.02249898729561692,8,0.375
0.2,stromal_fibrotic_region,ABCC3,False,-0.005463611998231806,0.007774557807890589,8,0.625
0.2,stromal_fibrotic_region,SLC10A2,False,-0.06620668886037583,-0.011024326959337475,8,0.25
0.2,stromal_fibrotic_region,SLC15A3,True,0.06305128873613915,0.06575261280729036,8,0.625
0.2,stromal_fibrotic_region,SLC1A4,False,0.011281580182918291,0.01716160031573779,8,0.75
0.2,stromal_fibrotic_region,SLC1A5,False,0.027474320058070816,0.036143370728223295,8,0.625
0.2,stromal_fibrotic_region,SLC38A2,True,0.10629339323431092,0.0957550339478907,8,0.875
0.2,stromal_fibrotic_region,SLC51A,False,-0.019711582944578532,-0.02695481640057063,8,0.25
0.2,stromal_fibrotic_region,SLC51B,False,-0.018421998068303688,-0.012480083614625014,8,0.25
