top_fraction,region,gene,mean_expression_in_region,mean_expression_outside_region,in_region_minus_outside,in_region_to_outside_ratio,n_in_region_spots,n_outside_region_spots,priority
0.2,stromal_fibrotic_region,SLC1A5,0.21940490101551752,0.160093419675587,0.05931148133993053,1.3704804448560046,11772,47043,False
0.2,stromal_fibrotic_region,SLC38A2,0.8413709533159379,0.6772938442079321,0.16407710910800577,1.2422539500560312,11772,47043,True
0.2,stromal_fibrotic_region,SLC51A,0.0321983267071192,0.13631491482814068,-0.10411658812102148,0.23620545666417583,11772,47043,False
0.2,stromal_fibrotic_region,SLC51B,0.031213746435568117,0.12086406930338106,-0.08965032286781294,0.25825496870553355,11772,47043,False
0.2,stromal_fibrotic_region,SLC5A1,0.24371695889377124,0.5908860629946111,-0.3471691041008399,0.4124601579847957,11772,47043,False
0.2,stromal_fibrotic_region,SLC7A5,0.07500739001823735,0.08355392235330109,-0.008546532335063736,0.8977123743045191,11772,47043,False
0.2,stromal_fibrotic_region,SLCO2B1,0.45465011834197006,0.35330906240286764,0.10134105593910242,1.2868340122664226,11772,47043,True
0.2,immune_inflammatory_region,ABCB1,0.08249232528026801,0.12864008693452256,-0.04614776165425455,0.6412645330553638,11772,47043,False
0.2,immune_inflammatory_region,ABCC3,0.06895069834420846,0.09768825924017295,-0.028737560895964492,0.7058237999173337,11772,47043,False
0.2,immune_inflammatory_region,SLC10A2,0.06044710296131177,0.10691416688287014,-0.046467063921558374,0.5653797314581763,11772,47043,False
0.2,immune_inflammatory_region,SLC15A3,0.32175177403966504,0.23311873638463046,0.08863303765503458,1.380205551169409,11772,47043,False
0.2,immune_inflammatory_region,SLC1A4,0.10630937627853076,0.09799899452895333,0.008310381749577433,1.084800683818467,11772,47043,False
0.2,immune_inflammatory_region,SLC1A5,0.20725271402726236,0.16313437253203195,0.04411834149523042,1.2704417273347322,11772,47043,False
0.2,immune_inflammatory_region,SLC38A2,0.7791159961270083,0.692872471336901,0.08624352479010733,1.1244724366429222,11772,47043,False
0.2,immune_inflammatory_region,SLC51A,0.06919775390317154,0.12705620987837285,-0.05785845597520131,0.5446231551327755,11772,47043,False
0.2,immune_inflammatory_region,SLC51B,0.06050469289618287,0.11353432796600128,-0.053029635069818414,0.5329198135941885,11772,47043,False
0.2,immune_inflammatory_region,SLC5A1,0.3671309152036409,0.5600030603442745,-0.1928721451406336,0.6555873372869407,11772,47043,False
0.2,immune_inflammatory_region,SLC7A5,0.09186486925295612,0.07933552119795154,0.01252934805500458,1.157928603301696,11772,47043,False
0.2,immune_inflammatory_region,SLCO2B1,0.4749343429739241,0.348233155416337,0.12670118755758714,1.3638401042143935,11772,47043,True
0.3,epithelial_bile_region,ABCB1,0.2615137821283962,0.05847193023913196,0.20304185188926424,4.472467063407799,17650,41165,True
0.3,epithelial_bile_region,ABCC3,0.2404316940316904,0.02826714443542189,0.21216454959626851,8.505694467333694,17650,41165,True
0.3,epithelial_bile_region,SLC10A2,0.25749245541376026,0.02906363684388567,0.2284288185698746,8.859608891924715,17650,41165,True
0.3,epithelial_bile_region,SLC15A3,0.23508679309369146,0.25762139442811743,-0.022534601334425974,0.912528222337863,17650,41165,False
0.3,epithelial_bile_region,SLC1A4,0.09748757823837377,0.10059479949639545,-0.0031072212580216807,0.9691115119909055,17650,41165,False
0.3,epithelial_bile_region,SLC1A5,0.15074974841546404,0.18106100272125278,-0.030311254305788737,0.8325909287465201,17650,41165,False
