top_fraction,region,Patient_ID,gene,adjacent_region_mean_expression,fibrotic_region_mean_expression,fibrotic_minus_adjacent_region_expression,priority
0.2,stromal_fibrotic_region,110201,SLC1A4,0.06076670286029276,0.07523592891384713,0.014469226053554371,False
0.2,stromal_fibrotic_region,110201,SLC1A5,0.15839052043779933,0.2517075924508607,0.09331707201306139,False
0.2,stromal_fibrotic_region,110201,SLC38A2,0.9848514585783987,0.9926744057097245,0.007822947131325808,True
0.2,stromal_fibrotic_region,110201,SLC51A,0.08420932780612599,0.03020955021701642,-0.053999777589109565,False
0.2,stromal_fibrotic_region,110201,SLC51B,0.09065248237715827,0.03094443219218088,-0.05970805018497739,False
0.2,stromal_fibrotic_region,110201,SLC5A1,0.4108988848298487,0.3135502009249445,-0.0973486839049042,False
0.2,stromal_fibrotic_region,110201,SLC7A5,0.03659166723790795,0.06258971670373756,0.025998049465829606,False
0.2,stromal_fibrotic_region,110201,SLCO2B1,0.3120132765083602,0.4737588570114985,0.1617455805031383,True
0.2,stromal_fibrotic_region,110748,ABCB1,0.12376793633509713,0.03243273222428461,-0.09133520411081252,False
0.2,stromal_fibrotic_region,110748,ABCC3,0.0428830891086451,0.016675588367211874,-0.026207500741433225,False
0.2,stromal_fibrotic_region,110748,SLC10A2,0.19460132144289072,0.0,-0.19460132144289072,False
0.2,stromal_fibrotic_region,110748,SLC15A3,0.27429729337073966,0.2423260880361675,-0.03197120533457215,True
0.2,stromal_fibrotic_region,110748,SLC1A4,0.07756988730552389,0.17823805771262397,0.10066817040710008,False
0.2,stromal_fibrotic_region,110748,SLC1A5,0.28260257395170996,0.17755400464725352,-0.10504856930445644,False
0.2,stromal_fibrotic_region,110748,SLC38A2,0.8346042062772515,1.079716186807526,0.2451119805302745,True
0.2,stromal_fibrotic_region,110748,SLC51A,0.1053519337374007,0.0012807400158267935,-0.10407119372157392,False
0.2,stromal_fibrotic_region,110748,SLC51B,0.06203011632668246,0.001165481983806213,-0.06086463434287625,False
0.2,stromal_fibrotic_region,110748,SLC5A1,0.41237014145654405,0.0018431789734784294,-0.41052696248306564,False
0.2,stromal_fibrotic_region,110748,SLC7A5,0.01895932557540699,0.11361124356407926,0.09465191798867227,False
0.2,stromal_fibrotic_region,110748,SLCO2B1,0.4585389265377067,0.5791408545021558,0.12060192796444907,True
0.2,stromal_fibrotic_region,112584,ABCB1,0.06460923420184025,0.04053093008296464,-0.024078304118875613,False
0.2,stromal_fibrotic_region,112584,ABCC3,0.0020447743233060023,0.030694201348289367,0.028649427024983364,False
0.2,stromal_fibrotic_region,112584,SLC10A2,0.008142203375329555,0.0,-0.008142203375329555,False
0.2,stromal_fibrotic_region,112584,SLC15A3,0.2697160743897961,0.3469702421577387,0.07725416776794258,True
0.2,stromal_fibrotic_region,112584,SLC1A4,0.031908086061025256,0.11683721912484016,0.0849291330638149,False
0.2,stromal_fibrotic_region,112584,SLC1A5,0.14231467156527844,0.19077703072338975,0.04846235915811131,False
0.2,stromal_fibrotic_region,112584,SLC38A2,0.8809512640991066,0.8196042313851336,-0.061347032713973015,True
0.2,stromal_fibrotic_region,112584,SLC51A,0.0030797249451986527,0.0,-0.0030797249451986527,False
0.2,stromal_fibrotic_region,112584,SLC51B,0.01164501486964651,0.0005606336378923026,-0.011084381231754207,False
0.2,stromal_fibrotic_region,112584,SLC5A1,0.03440601685467888,0.0,-0.03440601685467888,False
0.2,stromal_fibrotic_region,112584,SLC7A5,0.019451909997205353,0.05668456772322296,0.03723265772601761,False
0.2,stromal_fibrotic_region,112584,SLCO2B1,0.382571538100885,0.55395229709565,0.17138075899476496,True
0.2,stromal_fibrotic_region,117351,ABCB1,0.13642424531280994,0.01207762838653327,-0.12434661692627667,False
0.2,stromal_fibrotic_region,117351,ABCC3,0.044273604764728934,0.09213937906820828,0.047865774303479346,False
0.2,stromal_fibrotic_region,117351,SLC10A2,0.26935581354474697,0.0023408934916600145,-0.26701492005308697,False
0.2,stromal_fibrotic_region,117351,SLC15A3,0.4475025445524905,0.6612582625794746,0.21375571802698412,True
0.2,stromal_fibrotic_region,117351,SLC1A4,0.14960747353128484,0.1758780735016782,0.026270599970393355,False
0.2,stromal_fibrotic_region,117351,SLC1A5,0.3726404704959006,0.3379537912463189,-0.03468667924958169,False
0.2,stromal_fibrotic_region,117351,SLC38A2,0.6995454561468717,0.9599939526385791,0.2604484964917074,True
0.2,stromal_fibrotic_region,117351,SLC51A,0.07507503148470376,0.006522586491695156,-0.06855244499300861,False
0.2,stromal_fibrotic_region,117351,SLC51B,0.1400648459188036,0.003255951955234346,-0.13680889396356927,False
0.2,stromal_fibrotic_region,117351,SLC5A1,0.4825118787183955,0.007365091016296239,-0.4751467877020993,False
0.2,stromal_fibrotic_region,117351,SLC7A5,0.12803638751643734,0.2572957078546783,0.12925932033824097,False
0.2,stromal_fibrotic_region,117351,SLCO2B1,0.5420664266456623,0.7064956762835012,0.1644292496378389,True
